Image1_Path,Image1_Name,Image2_Path,Image2_Name,Reconstruction_Type,Winner,Labeler_Name,Notes,Created_At,Brightness_1,Brightness_2,Confidence
Trajectories/2022-04-11/293_RR220411A_882C_1842.bmp,293_RR220411A_882C_1842.bmp,Trajectories/2022-02-06/194_RR220206A_962C_2059.bmp,194_RR220206A_962C_2059.bmp,Twinned(2 x 1),not_apply,SY,,2025-12-10T16:52:23.046332,,,
Trajectories/2022-04-11/293_RR220411A_882C_1842.bmp,293_RR220411A_882C_1842.bmp,Trajectories/2022-02-06/194_RR220206A_962C_2059.bmp,194_RR220206A_962C_2059.bmp,(√13 x √13),1,SY,,2025-12-10T16:52:24.169165,,,
Trajectories/2022-04-11/293_RR220411A_882C_1842.bmp,293_RR220411A_882C_1842.bmp,Trajectories/2022-02-06/194_RR220206A_962C_2059.bmp,194_RR220206A_962C_2059.bmp,(1 x 1),1,SY,,2025-12-10T16:52:24.965838,,,
Trajectories/2022-04-11/293_RR220411A_882C_1842.bmp,293_RR220411A_882C_1842.bmp,Trajectories/2022-02-06/194_RR220206A_962C_2059.bmp,194_RR220206A_962C_2059.bmp,HTR,2,SY,,2025-12-10T16:52:25.687035,,,
Trajectories/2022-04-11/293_RR220411A_882C_1842.bmp,293_RR220411A_882C_1842.bmp,Trajectories/2022-02-06/194_RR220206A_962C_2059.bmp,194_RR220206A_962C_2059.bmp,c(6 x 2),1,SY,,2025-12-10T16:52:26.361850,,,
Trajectories/2022-04-11/227_RR220411A_877C_1726.bmp,227_RR220411A_877C_1726.bmp,Trajectories/2022-04-11/323_RR220411A_816C_1903.bmp,323_RR220411A_816C_1903.bmp,(1 x 1),tie,SY,,2025-12-10T16:53:04.584675,,,
Trajectories/2022-04-11/227_RR220411A_877C_1726.bmp,227_RR220411A_877C_1726.bmp,Trajectories/2022-04-11/323_RR220411A_816C_1903.bmp,323_RR220411A_816C_1903.bmp,Twinned(2 x 1),not_apply,SY,,2025-12-10T16:53:05.371791,,,
Trajectories/2022-04-11/227_RR220411A_877C_1726.bmp,227_RR220411A_877C_1726.bmp,Trajectories/2022-04-11/323_RR220411A_816C_1903.bmp,323_RR220411A_816C_1903.bmp,HTR,not_apply,SY,,2025-12-10T16:53:06.064212,,,
Trajectories/2022-04-11/227_RR220411A_877C_1726.bmp,227_RR220411A_877C_1726.bmp,Trajectories/2022-04-11/323_RR220411A_816C_1903.bmp,323_RR220411A_816C_1903.bmp,c(6 x 2),1,SY,,2025-12-10T16:53:06.771231,,,
Trajectories/2022-04-11/227_RR220411A_877C_1726.bmp,227_RR220411A_877C_1726.bmp,Trajectories/2022-04-11/323_RR220411A_816C_1903.bmp,323_RR220411A_816C_1903.bmp,(√13 x √13),2,SY,,2025-12-10T16:53:07.436978,,,
Trajectories/2022-02-04/192_RR220204A_607C_1831.bmp,192_RR220204A_607C_1831.bmp,Trajectories/2022-02-04/048_RR220204A_245C_0201.bmp,048_RR220204A_245C_0201.bmp,Twinned(2 x 1),tie,SY,,2025-12-10T16:53:42.934185,,,
Trajectories/2022-02-04/192_RR220204A_607C_1831.bmp,192_RR220204A_607C_1831.bmp,Trajectories/2022-02-04/048_RR220204A_245C_0201.bmp,048_RR220204A_245C_0201.bmp,HTR,not_apply,SY,,2025-12-10T16:53:43.710490,,,
Trajectories/2022-02-04/192_RR220204A_607C_1831.bmp,192_RR220204A_607C_1831.bmp,Trajectories/2022-02-04/048_RR220204A_245C_0201.bmp,048_RR220204A_245C_0201.bmp,c(6 x 2),not_apply,SY,,2025-12-10T16:53:44.399158,,,
Trajectories/2022-02-04/192_RR220204A_607C_1831.bmp,192_RR220204A_607C_1831.bmp,Trajectories/2022-02-04/048_RR220204A_245C_0201.bmp,048_RR220204A_245C_0201.bmp,(1 x 1),tie,SY,,2025-12-10T16:53:45.136881,,,
Trajectories/2022-02-04/192_RR220204A_607C_1831.bmp,192_RR220204A_607C_1831.bmp,Trajectories/2022-02-04/048_RR220204A_245C_0201.bmp,048_RR220204A_245C_0201.bmp,(√13 x √13),1,SY,,2025-12-10T16:53:45.852777,,,
Trajectories/2022-02-04/049_RR220204A_218C_0201.bmp,049_RR220204A_218C_0201.bmp,Trajectories/2022-02-04/307_RR220204A_912C_2025.bmp,307_RR220204A_912C_2025.bmp,(1 x 1),tie,SY,,2025-12-10T16:54:22.255228,,,
